ID,ACTION,IS_DELETED
2739108,Client Visit,FALSE
2739196,Client Visit,FALSE
2744812,Client Visit,FALSE
2747276,Client Visit,FALSE
2747336,Client Visit,FALSE
2747390,Client Visit,FALSE
2747392,Client Visit,FALSE
2752263,Client Visit,FALSE
2754361,Client Visit,FALSE
2754371,Client Visit,FALSE
2754621,Client Visit,FALSE
2755333,Client Visit,FALSE
2755644,Client Visit,FALSE
2755650,Client Visit,FALSE
2755651,Client Visit,FALSE
2758638,Client Visit,FALSE
2761353,Client Visit,FALSE
2761356,Client Visit,FALSE
2761519,Client Visit,FALSE
2761777,Client Visit,FALSE
2761786,Client Visit,FALSE
2761845,Client Visit,FALSE
2762381,Client Visit,FALSE
2763203,Client Visit,FALSE
2763207,Client Visit,FALSE
2763231,Client Visit,FALSE
2763234,Client Visit,FALSE
2763326,Client Visit,FALSE
2763422,Client Visit,FALSE
2763429,Client Visit,FALSE
2763964,Client Visit,FALSE
2763975,Client Visit,FALSE
2764480,Client Visit,FALSE
2767470,Client Visit,FALSE
2768485,Client Visit,FALSE
2769551,Client Visit,FALSE
2771408,Client Visit,FALSE
2771511,Client Visit,FALSE
2771973,Client Visit,FALSE
2772517,Client Visit,FALSE
2772642,Client Visit,FALSE
2773227,Client Visit,FALSE
2773539,Client Visit,FALSE
2776166,Client Visit,FALSE
2776421,Client Visit,FALSE
2776424,Client Visit,FALSE
2776425,Client Visit,FALSE
2776428,Client Visit,FALSE
2776434,Client Visit,FALSE
2776435,Client Visit,FALSE
2776439,Client Visit,FALSE
2776442,Client Visit,FALSE
2776446,Client Visit,FALSE
2776447,Client Visit,FALSE
2776452,Client Visit,FALSE
2776456,Client Visit,FALSE
2776461,Client Visit,FALSE
2776465,Client Visit,FALSE
2776470,Client Visit,FALSE
2776472,Client Visit,FALSE
2776475,Client Visit,FALSE
2776479,Client Visit,FALSE
2777100,Client Visit,FALSE
2777101,Client Visit,FALSE
2778115,Client Visit,FALSE
2778116,Client Visit,FALSE
2778117,Client Visit,FALSE
2778118,Client Visit,FALSE
2778119,Client Visit,FALSE
2778120,Client Visit,FALSE
2778121,Client Visit,FALSE
2778122,Client Visit,FALSE
